"pd_location","signal_width","rise_time","fall_time","peak_voltage","polarity","mean","rms","sd","Skewness","kurtosis","crest","formFactor","MainFreq","phase_angle","T","W","pC","pd_class"
1046327,15,4,11,0.003257487,1,0.002177873,0.002479163,0.001223379,0.5571307,1.860584,1.313946,1.138341,0,188.3389,23.56587,8.619479,69.69195,"1"
303626,18,7,11,0.00329883,-1,0.001904861,0.002203236,0.001137475,0.2295146,1.711227,1.497266,1.156639,0,54.65268,27.54197,6.105874,72.38471,"1"
151703,15,7,8,0.007383183,-1,0.00451561,0.005188906,0.002640002,0.4927258,1.773966,1.422879,1.149104,0,27.30654,23.91846,8.425895,144.4995,"1"
1150414,15,7,8,0.004805404,1,0.003059852,0.003431555,0.001604285,0.5574127,1.957254,1.400357,1.121477,0,207.0745,24.16696,7.518778,97.91528,"1"
133484,16,8,8,0.01000158,-1,0.005816788,0.006905349,0.003835932,0.2897263,1.592675,1.448382,1.187141,0,24.02712,24.42636,9.357516,197.7708,"1"
323915,15,6,9,0.009008614,-1,0.005399795,0.006177182,0.003098352,0.3964032,1.750401,1.458369,1.143966,0,58.3047,22.71523,7.977405,172.7934,"1"
1002236,16,7,9,0.003505125,1,0.00216497,0.002474842,0.001235965,0.4747059,1.743272,1.416302,1.14313,0,180.4025,24.36108,8.038853,73.60897,"1"
1258675,16,7,9,0.001935135,1,0.001201406,0.001367495,0.000673301,0.4762844,1.76004,1.415095,1.138246,0,226.5615,24.64098,7.984459,40.84779,"1"
86954,16,7,9,0.008321007,-1,0.004700013,0.005493697,0.002931937,0.266632,1.644209,1.514646,1.168869,0,15.65172,24.96026,8.285925,159.8004,"1"
347332,16,7,9,0.00317481,-1,0.001929746,0.002224986,0.001141625,0.4808939,1.770811,1.42689,1.152994,0,62.51976,25.07512,8.9709,65.61136,"1"
222179,17,8,9,0.002230593,-1,0.001344561,0.00154896,0.000791343,0.4523477,1.739045,1.440058,1.152019,0,39.99222,26.3002,7.82793,48.40421,"1"
958438,17,8,9,0.003502463,1,0.002032272,0.002369134,0.001252949,0.3614848,1.67985,1.478372,1.165756,0,172.5188,27.21069,7.319583,73.1618,"1"
355089,16,6,10,0.003824343,-1,0.002360446,0.002711629,0.0013757,0.4583771,1.690398,1.410349,1.148778,0,63.91602,23.66982,8.70214,80.25517,"1"
1114678,16,6,10,0.002590611,1,0.001616055,0.001846905,0.000921622,0.5005298,1.764407,1.402677,1.142848,0,200.642,24.14412,8.82601,54.94587,"1"
1175057,16,6,10,0.003386715,1,0.002097711,0.002412859,0.00122896,0.4997248,1.734475,1.403611,1.150234,0,211.5103,24.22949,8.640169,71.32217,"1"
1009174,16,6,10,0.00314152,1,0.001988564,0.002254189,0.001094266,0.4906232,1.790956,1.393636,1.133576,0,181.6513,24.46314,7.743729,67.61118,"1"
1111310,16,6,10,0.003161035,1,0.001912362,0.00219797,0.001116832,0.3861859,1.737354,1.438162,1.149348,0,200.0358,25.67663,7.710707,65.02031,"1"
1123943,18,8,10,0.003998822,1,0.002218901,0.002622393,0.001435949,0.240847,1.602734,1.524875,1.181844,0,202.3097,27.25403,6.841474,84.31822,"1"
1156400,17,7,10,0.003050948,1,0.00185845,0.002120536,0.001050799,0.3425083,1.739864,1.438763,1.141024,0,208.152,27.39283,6.441077,66.9042,"1"
974822,17,7,10,0.003183062,1,0.001893408,0.002190951,0.001134354,0.309886,1.688993,1.452822,1.157147,0,175.468,27.59548,6.858738,68.16268,"1"
86236,16,5,11,0.002928048,-1,0.001865139,0.002165461,0.001134078,0.4828266,1.705011,1.352159,1.161019,0,15.52248,24.11333,8.923049,63.41473,"1"
1448189,18,7,11,0.003614534,1,0.002060645,0.00241581,0.001295455,0.2397556,1.651486,1.4962,1.172356,0,260.674,27.96188,6.38033,78.30452,"1"
80899,15,7,8,0.003681282,-1,0.002314193,0.002647897,0.001329008,0.4762401,1.761137,1.390266,1.144199,0,14.56182,22.94457,8.535235,74.05417,"1"
90669,15,7,8,0.008624571,-1,0.005218962,0.005985187,0.00302609,0.4160188,1.765509,1.440986,1.146816,0,16.32042,23.14952,7.977058,167.0068,"1"
